entry,title,source_file,raw_path,raw_size,standard_path,standard_size
A-1,まえがき,ig_0c6d06f4900972b3016a1d576965f081918965f8acc50ff94e.png,A-1_preface_chapter_trial_raw.png,1774x887,A-1_preface_chapter_trial_1254x627.png,1254x627
B-1,Gemini,ig_0c6d06f4900972b3016a1d57b4fd448191927134e4538c4e80.png,B-1_gemini_chapter_trial_raw.png,1774x887,B-1_gemini_chapter_trial_1254x627.png,1254x627
C-1,OpenAI,ig_0c6d06f4900972b3016a1d5801e56c8191a563ba27058de3b3.png,C-1_openai_chapter_trial_raw.png,1774x887,C-1_openai_chapter_trial_1254x627.png,1254x627
D-12,Claude 4 系,ig_0c6d06f4900972b3016a1d585cdd488191a3bb09d33284b063.png,D-12_claude-4-series_chapter_trial_raw.png,1774x887,D-12_claude-4-series_chapter_trial_1254x627.png,1254x627
E-1,SWE-Bench,ig_0c6d06f4900972b3016a1d58b752a881919bfd82d9ae882778.png,E-1_swe-bench_chapter_trial_raw.png,1774x887,E-1_swe-bench_chapter_trial_1254x627.png,1254x627
F-1,JavaScript,ig_0c6d06f4900972b3016a1d590f9c0c819185c7e8d2147ceac4.png,F-1_javascript_chapter_trial_raw.png,1774x887,F-1_javascript_chapter_trial_1254x627.png,1254x627
G-1,Context,ig_0c6d06f4900972b3016a1d596b15a08191b0612ffdc3ca1fc1.png,G-1_context_chapter_trial_raw.png,1774x887,G-1_context_chapter_trial_1254x627.png,1254x627
H-53,ChatGPT 登場,ig_0c6d06f4900972b3016a1d59ed8280819184384fce510b2932.png,H-53_chatgpt-launch_chapter_trial_raw.png,1774x887,H-53_chatgpt-launch_chapter_trial_1254x627.png,1254x627
I-1,MCP,ig_0c6d06f4900972b3016a1d5a43b38881919ff1f22f95abbcc7.png,I-1_mcp_chapter_trial_raw.png,1774x887,I-1_mcp_chapter_trial_1254x627.png,1254x627
J-14,LLM,ig_0c6d06f4900972b3016a1d5af0b25881918812531ed73bfe79.png,J-14_llm_chapter_trial_raw.png,1774x887,J-14_llm_chapter_trial_1254x627.png,1254x627
