file,entry_id,size,size_ok,bbox_coverage,density_ok,clearspace_required,clearspace_ink_ratio,clearspace_ok,status
assets\ponchi\final\J-23.webp,J-23,1254x627,true,0.935,true,true,0.0157,false,review
assets\ponchi\final\J-31.webp,J-31,1254x627,true,0.869,true,true,0.1532,false,review
assets\ponchi\final\J-32.webp,J-32,1254x627,true,0.836,true,true,0.0576,false,review
assets\ponchi\final\J-33.webp,J-33,1254x627,true,0.882,true,true,0.1533,false,review
assets\ponchi\final\J-40.webp,J-40,1254x627,true,0.884,true,true,0.1137,false,review
assets\ponchi\final\J-41.webp,J-41,1254x627,true,0.872,true,true,0.1210,false,review
assets\ponchi\final\J-42.webp,J-42,1254x627,true,0.931,true,true,0.0228,false,review
assets\ponchi\final\J-43.webp,J-43,1254x627,true,0.885,true,true,0.0672,false,review
assets\ponchi\final\J-70.webp,J-70,1254x627,true,0.877,true,true,0.1640,false,review
assets\ponchi\final\J-71.webp,J-71,1254x627,true,0.925,true,true,0.1887,false,review
assets\ponchi\final\J-72.webp,J-72,1254x627,true,0.900,true,true,0.2177,false,review
assets\ponchi\final\J-73.webp,J-73,1254x627,true,0.925,true,true,0.2300,false,review
assets\ponchi\final\J-74.webp,J-74,1254x627,true,0.897,true,true,0.2182,false,review
assets\ponchi\final\J-75.webp,J-75,1254x627,true,0.944,true,true,0.1667,false,review
assets\ponchi\final\J-76.webp,J-76,1254x627,true,0.871,true,true,0.0908,false,review
assets\ponchi\final\J-77.webp,J-77,1254x627,true,0.870,true,true,0.1209,false,review
assets\ponchi\final\J-78.webp,J-78,1254x627,true,0.865,true,true,0.2102,false,review
assets\ponchi\final\J-79.webp,J-79,1254x627,true,0.871,true,true,0.0729,false,review
assets\ponchi\final\J-80.webp,J-80,1254x627,true,0.950,true,true,0.1037,false,review
assets\ponchi\final\J-81.webp,J-81,1254x627,true,0.810,true,true,0.0648,false,review
assets\ponchi\final\J-90.webp,J-90,1254x627,true,0.904,true,true,0.1155,false,review
assets\ponchi\final\J-91.webp,J-91,1254x627,true,0.809,true,true,0.0579,false,review
assets\ponchi\final\J-92.webp,J-92,1254x627,true,0.806,true,true,0.0903,false,review
assets\ponchi\final\J-93.webp,J-93,1254x627,true,0.829,true,true,0.1760,false,review
assets\ponchi\final\J-100.webp,J-100,1254x627,true,0.844,true,true,0.0658,false,review
