file,entry_id,size,size_ok,bbox_coverage,density_ok,clearspace_required,clearspace_ink_ratio,clearspace_ok,status
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\lightweight-regen-002\A-1_base_1254x627.png,A-1,1254x627,true,0.860,true,false,0.1156,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\lightweight-regen-002\A-7_base_1254x627.png,A-7,1254x627,true,0.914,true,false,0.0914,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\lightweight-regen-002\I-10_base_1254x627.png,I-10,1254x627,true,0.903,true,false,0.1747,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\lightweight-regen-002\I-22_base_1254x627.png,I-22,1254x627,true,0.838,true,false,0.1156,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\lightweight-regen-002\I-24_base_1254x627.png,I-24,1254x627,true,0.820,true,false,0.1608,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\lightweight-regen-002\I-80_base_1254x627.png,I-80,1254x627,true,0.847,true,false,0.0750,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\lightweight-regen-002\J-1_base_1254x627.png,J-1,1254x627,true,0.882,true,false,0.1010,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\lightweight-regen-002\J-16_base_1254x627.png,J-16,1254x627,true,0.936,true,false,0.1220,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\lightweight-regen-002\J-2_base_1254x627.png,J-2,1254x627,true,0.872,true,false,0.1111,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\lightweight-regen-002\J-21_base_1254x627.png,J-21,1254x627,true,0.912,true,false,0.1616,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\lightweight-regen-002\J-22_base_1254x627.png,J-22,1254x627,true,0.871,true,false,0.0781,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\lightweight-regen-002\J-32_base_1254x627.png,J-32,1254x627,true,0.836,true,false,0.0579,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\lightweight-regen-002\J-41_base_1254x627.png,J-41,1254x627,true,0.872,true,false,0.1206,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\lightweight-regen-002\J-50_base_1254x627.png,J-50,1254x627,true,0.806,true,false,0.0892,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\lightweight-regen-002\J-52_base_1254x627.png,J-52,1254x627,true,0.850,true,false,0.0562,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\lightweight-regen-002\J-56_base_1254x627.png,J-56,1254x627,true,0.925,true,false,0.2250,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\lightweight-regen-002\J-62_base_1254x627.png,J-62,1254x627,true,0.835,true,false,0.0529,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\lightweight-regen-002\J-70_base_1254x627.png,J-70,1254x627,true,0.877,true,false,0.1639,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\lightweight-regen-002\J-72_base_1254x627.png,J-72,1254x627,true,0.900,true,false,0.2181,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\lightweight-regen-002\J-73_base_1254x627.png,J-73,1254x627,true,0.925,true,false,0.2298,true,pass
