file,entry_id,size,size_ok,bbox_coverage,density_ok,clearspace_required,clearspace_ink_ratio,clearspace_ok,status
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-001\A-1_base_1254x627.png,A-1,1254x627,true,1.000,true,false,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-001\A-10_base_1254x627.png,A-10,1254x627,true,1.000,true,false,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-001\A-11_base_1254x627.png,A-11,1254x627,true,1.000,true,false,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-001\A-2_base_1254x627.png,A-2,1254x627,true,1.000,true,false,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-001\A-3_base_1254x627.png,A-3,1254x627,true,1.000,true,false,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-001\A-4_base_1254x627.png,A-4,1254x627,true,1.000,true,false,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-001\A-5_base_1254x627.png,A-5,1254x627,true,1.000,true,false,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-001\A-6_base_1254x627.png,A-6,1254x627,true,1.000,true,false,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-001\A-7_base_1254x627.png,A-7,1254x627,true,1.000,true,false,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-001\A-8_base_1254x627.png,A-8,1254x627,true,1.000,true,false,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-001\A-9_base_1254x627.png,A-9,1254x627,true,1.000,true,false,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-001\B-1_base_1254x627.png,B-1,1254x627,true,0.540,true,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-001\B-2_base_1254x627.png,B-2,1254x627,true,0.540,true,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-001\B-3_base_1254x627.png,B-3,1254x627,true,0.528,true,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-001\B-4_base_1254x627.png,B-4,1254x627,true,0.539,true,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-001\B-5_base_1254x627.png,B-5,1254x627,true,0.540,true,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-001\B-6_base_1254x627.png,B-6,1254x627,true,1.000,true,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-001\B-7_base_1254x627.png,B-7,1254x627,true,0.540,true,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-001\B-8_base_1254x627.png,B-8,1254x627,true,0.604,true,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-001\B-9_base_1254x627.png,B-9,1254x627,true,0.540,true,true,0.0000,true,pass
