file,size,size_ok,bbox_coverage,density_ok,clearspace_ink_ratio,clearspace_ok,status
assets\ponchi\experiments\batches\ponchi-batch-002\B-10_base_1254x627.png,1254x627,true,0.778,true,0.0000,true,pass
assets\ponchi\experiments\batches\ponchi-batch-002\B-11_base_1254x627.png,1254x627,true,0.681,true,0.0136,true,pass
assets\ponchi\experiments\batches\ponchi-batch-002\B-12_base_1254x627.png,1254x627,true,0.531,true,0.0013,true,pass
assets\ponchi\experiments\batches\ponchi-batch-002\B-13_base_1254x627.png,1254x627,true,0.847,true,0.0000,true,pass
assets\ponchi\experiments\batches\ponchi-batch-002\B-14_base_1254x627.png,1254x627,true,0.808,true,0.0067,true,pass
assets\ponchi\experiments\batches\ponchi-batch-002\B-15_base_1254x627.png,1254x627,true,0.737,true,0.0000,true,pass
assets\ponchi\experiments\batches\ponchi-batch-002\B-16_base_1254x627.png,1254x627,true,0.694,true,0.0148,true,pass
assets\ponchi\experiments\batches\ponchi-batch-002\B-17_base_1254x627.png,1254x627,true,0.638,true,0.0150,true,pass
assets\ponchi\experiments\batches\ponchi-batch-002\B-18_base_1254x627.png,1254x627,true,0.662,true,0.0000,true,pass
assets\ponchi\experiments\batches\ponchi-batch-002\B-19_base_1254x627.png,1254x627,true,0.815,true,0.0000,true,pass
assets\ponchi\experiments\batches\ponchi-batch-002\B-20_base_1254x627.png,1254x627,true,0.725,true,0.0000,true,pass
assets\ponchi\experiments\batches\ponchi-batch-002\B-21_base_1254x627.png,1254x627,true,0.736,true,0.0000,true,pass
assets\ponchi\experiments\batches\ponchi-batch-002\B-22_base_1254x627.png,1254x627,true,0.747,true,0.0000,true,pass
assets\ponchi\experiments\batches\ponchi-batch-002\B-23_base_1254x627.png,1254x627,true,0.816,true,0.0000,true,pass
assets\ponchi\experiments\batches\ponchi-batch-002\B-24_base_1254x627.png,1254x627,true,0.813,true,0.0000,true,pass
assets\ponchi\experiments\batches\ponchi-batch-002\B-25_base_1254x627.png,1254x627,true,0.802,true,0.0000,true,pass
assets\ponchi\experiments\batches\ponchi-batch-002\B-26_base_1254x627.png,1254x627,true,0.741,true,0.0000,true,pass
assets\ponchi\experiments\batches\ponchi-batch-002\B-27_base_1254x627.png,1254x627,true,0.797,true,0.0000,true,pass
assets\ponchi\experiments\batches\ponchi-batch-002\B-28_base_1254x627.png,1254x627,true,0.683,true,0.0000,true,pass
assets\ponchi\experiments\batches\ponchi-batch-002\B-29_base_1254x627.png,1254x627,true,0.811,true,0.0000,true,pass
