file,size,size_ok,bbox_coverage,density_ok,clearspace_ink_ratio,clearspace_ok,status
assets\ponchi\final\B-10.webp,1254x627,true,0.375,false,0.0273,false,review
assets\ponchi\final\B-11.webp,1254x627,true,0.402,false,0.0263,false,review
assets\ponchi\final\B-12.webp,1254x627,true,0.382,false,0.0093,true,review
assets\ponchi\final\B-13.webp,1254x627,true,0.372,false,0.0094,true,review
assets\ponchi\final\B-14.webp,1254x627,true,0.333,false,0.0000,true,review
assets\ponchi\final\B-15.webp,1254x627,true,0.361,false,0.0405,false,review
assets\ponchi\final\B-16.webp,1254x627,true,0.431,false,0.0247,false,review
assets\ponchi\final\B-17.webp,1254x627,true,0.435,false,0.0278,false,review
assets\ponchi\final\B-18.webp,1254x627,true,0.352,false,0.0151,false,review
assets\ponchi\final\B-19.webp,1254x627,true,0.380,false,0.0111,true,review
assets\ponchi\final\B-20.webp,1254x627,true,0.376,false,0.0091,true,review
assets\ponchi\final\B-21.webp,1254x627,true,0.230,false,0.0000,true,review
assets\ponchi\final\B-22.webp,1254x627,true,0.377,false,0.0247,false,review
assets\ponchi\final\B-23.webp,1254x627,true,0.390,false,0.0091,true,review
assets\ponchi\final\B-24.webp,1254x627,true,0.384,false,0.0070,true,review
assets\ponchi\final\B-25.webp,1254x627,true,0.436,false,0.0114,true,review
assets\ponchi\final\B-26.webp,1254x627,true,0.360,false,0.0066,true,review
assets\ponchi\final\B-27.webp,1254x627,true,0.388,false,0.0051,true,review
assets\ponchi\final\B-28.webp,1254x627,true,0.424,false,0.0183,false,review
assets\ponchi\final\B-29.webp,1254x627,true,0.413,false,0.0032,true,review
