entry_id,batch_id,candidate_webp,candidate_png,final_webp,final_png,size,old_final_webp_bytes,new_final_webp_bytes,old_final_png_bytes,new_final_png_bytes
A-10,ponchi-batch-001,assets/ponchi/final_candidates/ponchi-batch-001/A-10_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-001/A-10_candidate.png,assets/ponchi/final/A-10.webp,assets/ponchi/final/A-10.png,1254x627,44612,25850,706749,23399
A-11,ponchi-batch-001,assets/ponchi/final_candidates/ponchi-batch-001/A-11_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-001/A-11_candidate.png,assets/ponchi/final/A-11.webp,assets/ponchi/final/A-11.png,1254x627,47448,22782,713938,22331
A-1,ponchi-batch-001,assets/ponchi/final_candidates/ponchi-batch-001/A-1_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-001/A-1_candidate.png,assets/ponchi/final/A-1.webp,assets/ponchi/final/A-1.png,1254x627,66368,20530,796978,21037
A-2,ponchi-batch-001,assets/ponchi/final_candidates/ponchi-batch-001/A-2_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-001/A-2_candidate.png,assets/ponchi/final/A-2.webp,assets/ponchi/final/A-2.png,1254x627,52608,29250,746670,26725
A-3,ponchi-batch-001,assets/ponchi/final_candidates/ponchi-batch-001/A-3_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-001/A-3_candidate.png,assets/ponchi/final/A-3.webp,assets/ponchi/final/A-3.png,1254x627,52308,24646,731253,24117
A-4,ponchi-batch-001,assets/ponchi/final_candidates/ponchi-batch-001/A-4_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-001/A-4_candidate.png,assets/ponchi/final/A-4.webp,assets/ponchi/final/A-4.png,1254x627,41904,27754,721330,25119
A-5,ponchi-batch-001,assets/ponchi/final_candidates/ponchi-batch-001/A-5_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-001/A-5_candidate.png,assets/ponchi/final/A-5.webp,assets/ponchi/final/A-5.png,1254x627,55440,23030,752953,22639
A-6,ponchi-batch-001,assets/ponchi/final_candidates/ponchi-batch-001/A-6_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-001/A-6_candidate.png,assets/ponchi/final/A-6.webp,assets/ponchi/final/A-6.png,1254x627,43154,25028,714222,23491
A-7,ponchi-batch-001,assets/ponchi/final_candidates/ponchi-batch-001/A-7_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-001/A-7_candidate.png,assets/ponchi/final/A-7.webp,assets/ponchi/final/A-7.png,1254x627,32220,18936,663992,18540
A-8,ponchi-batch-001,assets/ponchi/final_candidates/ponchi-batch-001/A-8_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-001/A-8_candidate.png,assets/ponchi/final/A-8.webp,assets/ponchi/final/A-8.png,1254x627,38548,20854,697888,17634
A-9,ponchi-batch-001,assets/ponchi/final_candidates/ponchi-batch-001/A-9_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-001/A-9_candidate.png,assets/ponchi/final/A-9.webp,assets/ponchi/final/A-9.png,1254x627,56304,33734,767977,32063
