entry_id,title,candidate_path,final_path,replacement_decision,audit_status,old_size_bytes,new_size_bytes,status
J-93,Ubuntu,assets/ponchi/experiments/batches/lightweight-regen-001/J-93_base_1254x627.png,assets/ponchi/final/J-93.webp,replace_candidate_ready,image_pass_color_pass,13566,81134,promoted
J-91,CLI,assets/ponchi/experiments/batches/lightweight-regen-001/J-91_base_1254x627.png,assets/ponchi/final/J-91.webp,replace_candidate_visual_review,image_pass_color_review,16462,70170,promoted
J-81,M.2,assets/ponchi/experiments/batches/lightweight-regen-001/J-81_base_1254x627.png,assets/ponchi/final/J-81.webp,replace_candidate_ready,image_pass_color_pass,16820,52978,promoted
J-92,Linux,assets/ponchi/experiments/batches/lightweight-regen-001/J-92_base_1254x627.png,assets/ponchi/final/J-92.webp,replace_candidate_ready,image_pass_color_pass,17852,65370,promoted
J-90,GUI,assets/ponchi/experiments/batches/lightweight-regen-001/J-90_base_1254x627.png,assets/ponchi/final/J-90.webp,replace_candidate_visual_review,image_pass_color_review,18910,78896,promoted
I-4,MCP Transport,assets/ponchi/experiments/batches/lightweight-regen-001/I-4_base_1254x627.png,assets/ponchi/final/I-4.webp,replace_candidate_ready,image_pass_color_pass,21518,64086,promoted
I-3,MCP Client,assets/ponchi/experiments/batches/lightweight-regen-001/I-3_base_1254x627.png,assets/ponchi/final/I-3.webp,replace_candidate_visual_review,image_pass_color_review,22458,84610,promoted
B-6,Windsurf,assets/ponchi/experiments/batches/lightweight-regen-001/B-6_base_1254x627.png,assets/ponchi/final/B-6.webp,needs_logo_clearspace_or_visual_review,image_review_color_review,24658,73612,promoted
I-2,MCP Server,assets/ponchi/experiments/batches/lightweight-regen-001/I-2_base_1254x627.png,assets/ponchi/final/I-2.webp,replace_candidate_visual_review,image_pass_color_review,25114,77512,promoted
J-100,識字（リテラシー）,assets/ponchi/experiments/batches/lightweight-regen-001/J-100_base_1254x627.png,assets/ponchi/final/J-100.webp,replace_candidate_ready,image_pass_color_pass,27288,81610,promoted
B-4,Cursor,assets/ponchi/experiments/batches/lightweight-regen-001/B-4_base_1254x627.png,assets/ponchi/final/B-4.webp,needs_logo_clearspace_or_visual_review,image_review_color_review,31206,69220,promoted
B-7,Claude Code,assets/ponchi/experiments/batches/lightweight-regen-001/B-7_base_1254x627.png,assets/ponchi/final/B-7.webp,needs_logo_clearspace_or_visual_review,image_review_color_pass,32398,61696,promoted
I-5,MCP SDK,assets/ponchi/experiments/batches/lightweight-regen-001/I-5_base_1254x627.png,assets/ponchi/final/I-5.webp,replace_candidate_visual_review,image_pass_color_review,32738,78118,promoted
B-5,GitHub Copilot,assets/ponchi/experiments/batches/lightweight-regen-001/B-5_base_1254x627.png,assets/ponchi/final/B-5.webp,needs_logo_clearspace_or_visual_review,image_review_color_review,33248,71008,promoted
B-2,Claude,assets/ponchi/experiments/batches/lightweight-regen-001/B-2_base_1254x627.png,assets/ponchi/final/B-2.webp,needs_logo_clearspace_or_visual_review,image_review_color_review,35304,79532,promoted
B-3,ChatGPT,assets/ponchi/experiments/batches/lightweight-regen-001/B-3_base_1254x627.png,assets/ponchi/final/B-3.webp,needs_logo_clearspace_or_visual_review,image_review_color_review,40300,78434,promoted
I-21,Puppeteer MCP,assets/ponchi/experiments/batches/lightweight-regen-001/I-21_base_1254x627.png,assets/ponchi/final/I-21.webp,replace_candidate_visual_review,image_pass_color_review,13710,75980,promoted
J-4,ASI,assets/ponchi/experiments/batches/lightweight-regen-001/J-4_base_1254x627.png,assets/ponchi/final/J-4.webp,replace_candidate_visual_review,image_pass_color_review,15506,101122,promoted
J-80,SATA,assets/ponchi/experiments/batches/lightweight-regen-001/J-80_base_1254x627.png,assets/ponchi/final/J-80.webp,needs_color_fix_before_replace,image_pass_color_fail,16148,77940,promoted
J-19,量子化,assets/ponchi/experiments/batches/lightweight-regen-001/J-19_base_1254x627.png,assets/ponchi/final/J-19.webp,replace_candidate_ready,image_pass_color_pass,16434,87056,promoted
J-22,パラメータ数の単位,assets/ponchi/experiments/batches/lightweight-regen-002/J-22_base_1254x627.png,assets/ponchi/final/J-22.webp,replace_candidate_ready,image_pass_color_pass,17136,98716,promoted
I-22,Chrome DevTools MCP,assets/ponchi/experiments/batches/lightweight-regen-002/I-22_base_1254x627.png,assets/ponchi/final/I-22.webp,needs_color_fix_before_replace,image_pass_color_fail,17216,88532,promoted
J-52,Sycophancy,assets/ponchi/experiments/batches/lightweight-regen-002/J-52_base_1254x627.png,assets/ponchi/final/J-52.webp,needs_color_fix_before_replace,image_pass_color_fail,17800,84474,promoted
J-73,Blackwell,assets/ponchi/experiments/batches/lightweight-regen-002/J-73_base_1254x627.png,assets/ponchi/final/J-73.webp,needs_color_fix_before_replace,image_pass_color_fail,17814,129422,promoted
J-70,VRAM,assets/ponchi/experiments/batches/lightweight-regen-002/J-70_base_1254x627.png,assets/ponchi/final/J-70.webp,replace_candidate_visual_review,image_pass_color_review,18036,100082,promoted
J-62,チューリングテスト,assets/ponchi/experiments/batches/lightweight-regen-002/J-62_base_1254x627.png,assets/ponchi/final/J-62.webp,replace_candidate_ready,image_pass_color_pass,18716,73850,promoted
J-21,LoRA,assets/ponchi/experiments/batches/lightweight-regen-002/J-21_base_1254x627.png,assets/ponchi/final/J-21.webp,replace_candidate_visual_review,image_pass_color_review,18808,81232,promoted
J-50,AI 倫理,assets/ponchi/experiments/batches/lightweight-regen-002/J-50_base_1254x627.png,assets/ponchi/final/J-50.webp,replace_candidate_visual_review,image_pass_color_review,18794,84752,promoted
