batch_id,entry_id,title,candidate_file,audited_file,audit_source_type,candidate_status,source_type,size,inspected_pixels,disallowed_pixels,disallowed_ratio,disallowed_bbox,dominant_disallowed,status,notes
final,J-23,,assets/ponchi/final/J-23.webp,assets/ponchi/final/J-23.webp,direct_image,,,1254x627,786258,362,0.000460,"95,177,948,191",blue:362,pass,
final,J-31,,assets/ponchi/final/J-31.webp,assets/ponchi/final/J-31.webp,direct_image,,,1254x627,786258,13287,0.016899,"32,54,1183,536",blue:10991;neutral:1835;dark:280;purple:140;cyan_teal:40,review,
final,J-32,,assets/ponchi/final/J-32.webp,assets/ponchi/final/J-32.webp,direct_image,,,1254x627,786258,13839,0.017601,"12,63,1225,516",blue:12408;neutral:888;dark:373;purple:147;cyan_teal:23,review,
final,J-33,,assets/ponchi/final/J-33.webp,assets/ponchi/final/J-33.webp,direct_image,,,1254x627,786258,14514,0.018460,"25,50,1221,533",blue:11796;neutral:2151;dark:459;purple:79;cyan_teal:28,review,
final,J-40,,assets/ponchi/final/J-40.webp,assets/ponchi/final/J-40.webp,direct_image,,,1254x627,786258,6116,0.007779,"20,25,1201,563",blue:5112;neutral:472;dark:435;cyan_teal:70;purple:25,pass,
final,J-41,,assets/ponchi/final/J-41.webp,assets/ponchi/final/J-41.webp,direct_image,,,1254x627,786258,10982,0.013967,"6,34,1213,548",blue:9916;neutral:709;dark:309;purple:28;cyan_teal:20,review,
final,J-42,,assets/ponchi/final/J-42.webp,assets/ponchi/final/J-42.webp,direct_image,,,1254x627,786258,23,0.000029,"394,126,561,372",blue:23,pass,
final,J-43,,assets/ponchi/final/J-43.webp,assets/ponchi/final/J-43.webp,direct_image,,,1254x627,786258,7192,0.009147,"12,22,1242,553",blue:5287;dark:1062;neutral:762;purple:65;cyan_teal:16,pass,
final,J-70,,assets/ponchi/final/J-70.webp,assets/ponchi/final/J-70.webp,direct_image,,,1254x627,786258,9702,0.012339,"29,50,1191,528",blue:8305;neutral:811;dark:465;cyan_teal:95;purple:25,review,
final,J-71,,assets/ponchi/final/J-71.webp,assets/ponchi/final/J-71.webp,direct_image,,,1254x627,786258,7368,0.009371,"14,38,1201,575",blue:5798;neutral:1235;dark:300;cyan_teal:21;purple:13,pass,
final,J-72,,assets/ponchi/final/J-72.webp,assets/ponchi/final/J-72.webp,direct_image,,,1254x627,786258,16203,0.020608,"4,33,1209,563",blue:11960;neutral:2913;dark:1046;purple:227;cyan_teal:42,fail,
final,J-73,,assets/ponchi/final/J-73.webp,assets/ponchi/final/J-73.webp,direct_image,,,1254x627,786258,21481,0.027321,"2,41,1235,561",blue:16323;neutral:3626;dark:1302;purple:208;cyan_teal:22,fail,
final,J-74,,assets/ponchi/final/J-74.webp,assets/ponchi/final/J-74.webp,direct_image,,,1254x627,786258,10415,0.013246,"14,50,1201,547",blue:6426;dark:2245;neutral:1082;orange:376;cyan_teal:124,review,
final,J-75,,assets/ponchi/final/J-75.webp,assets/ponchi/final/J-75.webp,direct_image,,,1254x627,786258,9086,0.011556,"26,34,1227,580",blue:8052;neutral:503;dark:458;purple:44;cyan_teal:29,review,
final,J-76,,assets/ponchi/final/J-76.webp,assets/ponchi/final/J-76.webp,direct_image,,,1254x627,786258,19115,0.024311,"12,43,1227,540",blue:16813;neutral:1552;purple:471;dark:247;cyan_teal:28,fail,
final,J-77,,assets/ponchi/final/J-77.webp,assets/ponchi/final/J-77.webp,direct_image,,,1254x627,786258,8903,0.011323,"11,58,1211,532",blue:8032;neutral:579;dark:230;cyan_teal:35;purple:25,review,
final,J-78,,assets/ponchi/final/J-78.webp,assets/ponchi/final/J-78.webp,direct_image,,,1254x627,786258,13234,0.016832,"34,53,1181,531",blue:7248;dark:3360;neutral:2406;purple:74;cyan_teal:61,review,
final,J-79,,assets/ponchi/final/J-79.webp,assets/ponchi/final/J-79.webp,direct_image,,,1254x627,786258,9887,0.012575,"13,46,1222,532",blue:7216;dark:1613;neutral:795;orange:87;cyan_teal:73,review,
final,J-80,,assets/ponchi/final/J-80.webp,assets/ponchi/final/J-80.webp,direct_image,,,1254x627,786258,14159,0.018008,"29,19,1207,608",blue:11418;dark:1751;neutral:944;cyan_teal:24;purple:22,review,
final,J-81,,assets/ponchi/final/J-81.webp,assets/ponchi/final/J-81.webp,direct_image,,,1254x627,786258,5496,0.006990,"33,88,1182,483",blue:2899;dark:2498;neutral:89;purple:5;cyan_teal:5,pass,
final,J-90,,assets/ponchi/final/J-90.webp,assets/ponchi/final/J-90.webp,direct_image,,,1254x627,786258,11435,0.014544,"2,47,1251,555",blue:10080;dark:893;neutral:423;cyan_teal:28;purple:11,review,
final,J-91,,assets/ponchi/final/J-91.webp,assets/ponchi/final/J-91.webp,direct_image,,,1254x627,786258,9097,0.011570,"0,73,1254,472",blue:7884;dark:1019;neutral:154;cyan_teal:35;purple:5,review,
final,J-92,,assets/ponchi/final/J-92.webp,assets/ponchi/final/J-92.webp,direct_image,,,1254x627,786258,5214,0.006631,"8,70,1227,490",blue:3856;dark:1084;neutral:229;cyan_teal:36;purple:8,pass,
final,J-93,,assets/ponchi/final/J-93.webp,assets/ponchi/final/J-93.webp,direct_image,,,1254x627,786258,7193,0.009148,"1,84,1246,484",dark:3411;blue:2973;neutral:766;cyan_teal:23;purple:19,pass,
final,J-100,,assets/ponchi/final/J-100.webp,assets/ponchi/final/J-100.webp,direct_image,,,1254x627,786258,5336,0.006787,"7,60,1247,510",blue:4143;dark:735;neutral:378;purple:43;cyan_teal:37,pass,
